,country,id,cl,age_of_biz,onboard_date,stmt_start,stmt_end,-3_inflow,-2_inflow,-1_inflow,-3_outflow,-2_outflow,-1_outflow,-3_net_cash,-2_net_cash,-1_net_cash,-3_end_bal,-2_end_bal,-1_end_bal,cb_report_found,cb_inquiries_l12m,cb_trades_30_plus_l6m,cb_trades_repaid,cb_trades_active
0,Belgium,10987,10000,3,1/1/2023,9/1/2022,12/1/2022,1210,6490,13900,136000,4310000,285000,-135000,-4300000,-271000,5180000,875000,604000,0,,,,
1,Brazil,10430,35000,3,1/1/2023,9/1/2022,12/1/2022,46500,29100,73700,50000,21700,82500,-3540,7410,-8740,5180,12600,3860,0,,,,
2,Brazil,11031,35000,5,1/1/2023,9/1/2022,12/1/2022,45700,60700,63300,46000,60500,62300,-351,162,959,-1120,-958,2,0,,,,
3,Brazil,11061,50000,4,1/1/2023,9/1/2022,12/1/2022,168000,97900,75800,161000,94600,75900,6680,3330,-102,8310,11600,11500,0,,,,
4,Brazil,11062,250000,13,1/1/2023,9/1/2022,12/1/2022,108000,75600,109000,108000,75600,109000,-6,15,81,0,15,96,0,,,,
5,Brazil,10963,35000,6,2/1/2023,10/1/2022,1/1/2023,163000,140000,80800,151000,159000,81000,12500,-19100,-158,-2680,-21800,-21900,0,,,,
6,Brazil,11277,130000,9,2/1/2023,10/1/2022,1/1/2023,115000,140000,118000,124000,131000,125000,-8480,9620,-7090,-8480,3,-7080,0,,,,
7,Brazil,11341,50000,6,2/1/2023,10/1/2022,1/1/2023,236000,139000,97500,242000,135000,102000,-6050,4870,-4710,-728,4140,-565,0,,,,
8,Brazil,11440,50000,6,2/1/2023,10/1/2022,1/1/2023,-11100,146000,308000,185000,192000,309000,-196000,-46500,-961,-11100,-57600,-58500,0,,,,
9,Brazil,11560,1300000,4,3/1/2023,11/1/2022,2/1/2023,572000,1110000,256000,262000,990000,425000,310000,121000,-169000,308000,429000,260000,0,,,,
10,Brazil,11374,50000,9,4/1/2023,12/1/2022,3/1/2023,85500,84900,59400,85500,86700,59700,-14,-1790,-251,-14,-1810,-2060,1,25,0,,15
11,Brazil,11581,25000,7,4/1/2023,12/1/2022,3/1/2023,34600,54100,58100,34600,53900,58200,55,203,-146,100,303,157,1,10,0,,6
12,Brazil,11772,40000,3,4/1/2023,12/1/2022,3/1/2023,59500,60300,57300,61600,55300,74100,-2150,4920,-16900,15900,20800,3890,1,18,0,,2
13,Canada,10943,100000,14,1/1/2023,9/1/2022,12/1/2022,884000,1030000,996000,872000,1020000,847000,11800,15300,149000,-283000,-290000,-175000,1,0,1,4,9
14,Canada,11116,30000,18,1/1/2023,9/1/2022,12/1/2022,153000,344000,339000,239000,352000,293000,-86100,-7880,46400,-16100,22400,30300,0,,,,
15,Canada,11232,25000,4,1/1/2023,9/1/2022,12/1/2022,589000,443000,204000,394000,428000,350000,196000,15600,-146000,195000,211000,64800,0,,,,
16,Canada,11036,4900,5,2/1/2023,10/1/2022,1/1/2023,76000,66600,63200,87900,80100,89600,-11900,-13400,-26400,32200,18800,-7670,1,0,0,0,4
17,Canada,11523,20000,2,2/1/2023,10/1/2022,1/1/2023,218000,165000,110000,231000,138000,108000,-12700,27700,1950,16800,44500,46400,0,,,,
18,Canada,11432,75000,33,3/1/2023,11/1/2022,2/1/2023,759000,1150000,839000,1230000,798000,928000,-469000,347000,-88400,-95100,252000,163000,1,0,1,2,8
19,Canada,11435,150000,13,3/1/2023,11/1/2022,2/1/2023,5490000,4520000,6670000,5120000,4300000,7310000,367000,228000,-641000,470000,698000,56700,1,5,6,2,25
20,Canada,11626,10000,6,3/1/2023,11/1/2022,2/1/2023,119000,112000,130000,114000,114000,117000,5330,-1290,12900,5340,4040,16900,0,,,,
21,Colombia,10697,5000,11,1/1/2023,9/1/2022,12/1/2022,117000,43900,49800,128000,195000,196000,-10800,-151000,-147000,430000,279000,133000,1,0,0,0,2
22,Colombia,10747,25000,3,1/1/2023,9/1/2022,12/1/2022,384000,356000,242000,214000,379000,329000,170000,-22700,-87200,216000,193000,106000,1,0,0,0,0
23,Colombia,10784,5000,2,1/1/2023,9/1/2022,12/1/2022,37100,2890,129000,20700,20500,72900,16400,-17600,56400,20400,2750,59200,1,0,0,0,0
24,Colombia,10794,6500,4,1/1/2023,9/1/2022,12/1/2022,82900,78400,82200,99000,77200,87000,-16100,1150,-4780,12600,13800,9000,1,0,0,0,2
25,Colombia,10795,20000,31,1/1/2023,9/1/2022,12/1/2022,188000,248000,249000,197000,260000,259000,-9070,-11200,-10400,38700,27500,17100,1,0,0,20,29
26,Colombia,10818,3000,4,1/1/2023,9/1/2022,12/1/2022,34800,33400,32900,36000,32600,33600,-1220,769,-751,62,831,80,1,3,0,0,1
27,Colombia,10836,2500,6,1/1/2023,9/1/2022,12/1/2022,27400,17000,15300,24300,20000,13600,3150,-3080,1710,673,-2410,-699,1,4,0,6,7
28,Colombia,10872,13000,16,1/1/2023,9/1/2022,12/1/2022,146000,202000,162000,125000,171000,208000,20900,30500,-46000,33700,64300,18200,1,3,0,52,33
